maquina,grupos,process,estado
\SPRMY01,S253_000.ATM,$A100,UP
\SPRMY01,EMS,$ACCD,UP
\SPRMY01,AUTO.UAT,$ACYPO,UP
\SPRMY01,PNA,$AOBMX,UP
\SPRMY01,PATHWAY.HORARIO,$BIN,UP
\SPRMY01,DRIVERS.BURO,$BNPWD,UP
\SPRMY01,DRIVERS.ATMNB.SWD,$BX09,UP
\SPRMY01,DRIVERS.ATMNB.SWA,$BX30,UP
\SPRMY01,DRIVERS.ATMNB.SWA,$BX43,UP
\SPRMY01,DRIVERS.ATMNB.SWA,$BX44,UP
\SPRMY01,DRIVERS.ATMNB.SWA,$BX45,UP
\SPRMY01,DRIVERS.ATMNB.SWA,$BX46,UP
\SPRMY01,DRIVERS.ATMNB.SWA,$BX47,UP
\SPRMY01,DRIVERS.ATMNB.SWA,$BX53,UP
\SPRMY01,DRIVERS.ATMNB.SWA,$BX54,UP
\SPRMY01,DRIVERS.ATMNB.SWA,$BX55,UP
\SPRMY01,DRIVERS.ATMNB.SWD,$BX57,UP
\SPRMY01,DRIVERS.ATMNB.SWD,$BX62,UP
\SPRMY01,DRIVERS.ATMNB.SWD,$BX65,UP
\SPRMY01,DRIVERS.ATMNB.SWD,$BX66,UP
\SPRMY01,DRIVERS.ATMNB.SWD,$BX71,UP
\SPRMY01,DRIVERS.ATMNB.SWD,$BX81,UP
\SPRMY01,DRIVERS.ATMNB.SWD,$BX84,UP
\SPRMY01,DRIVERS.ATMNB.SWD,$BX88,UP
\SPRMY01,DRIVERS.B24ATM.SWB,$C012,UP
\SPRMY01,NDM,$CDRT,UP
\SPRMY01,S244_010.CAB,$CEREB,UP
\SPRMY01,S130.HORARIO,$CHEQ,UP
\SPRMY01,SO,$CLCI,UP
\SPRMY01,SO,$CMON,UP
\SPRMY01,S130.HORARIO01,$CPNA,UP
\SPRMY01,PATHWAY,$CRYP1,UP
\SPRMY01,PATHWAY,$CRYP2,UP
\SPRMY01,S111.HORARIO,$CSCIN,UP
\SPRMY01,DRIVERS.BOLSA,$DBMV,UP
\SPRMY01,S253_000.ATM,$DI34,UP
\SPRMY01,S137.HORARIO,$DN01,UP
\SPRMY01,DRIVERS.OCRE,$DOCRA,UP
\SPRMY01,DRIVERS.OCRE,$DOCRB,UP
\SPRMY01,DRIVERS.OCRE,$DOCRC,UP
\SPRMY01,DRIVERS.OCRE,$DOCRD,UP
\SPRMY01,DRIVERS.OCRE,$DOCRE,UP
\SPRMY01,DRIVERS.OCRE,$DOCRF,UP
\SPRMY01,DRIVERS.OCRE,$DOCRG,UP
\SPRMY01,DRIVERS.OCRE,$DOCRH,UP
\SPRMY01,DRIVERS.OCRE,$DOCRI,UP
\SPRMY01,DRIVERS.OCRE,$DOCRJ,UP
\SPRMY01,DRIVERS.OCRE,$DOCRK,UP
\SPRMY01,DRIVERS.OCRE,$DOCRL,UP
\SPRMY01,DRIVERS.OCRE,$DOCRM,UP
\SPRMY01,DRIVERS.OCRE,$DOCRN,UP
\SPRMY01,DRIVERS.OCRE,$DOCRO,UP
\SPRMY01,DRIVERS.OCRE,$DOCRP,UP
\SPRMY01,DRIVERS.OCRE,$DOCRQ,UP
\SPRMY01,DRIVERS.OCRE,$DOCRR,UP
\SPRMY01,DRIVERS.OCRE,$DOCRS,UP
\SPRMY01,DRIVERS.OCRE,$DOCRT,UP
\SPRMY01,S137.HORARIO,$DR03,UP
\SPRMY01,S137.HORARIO,$DR04,UP
\SPRMY01,DRIVERS.SAPUF,$DSAP2,UP
\SPRMY01,DRIVERS.SAPUF,$DSAP3,UP
\SPRMY01,DRIVERS.SAPUF,$DSAP4,UP
\SPRMY01,DRIVERS.SAPUF,$DSAP5,UP
\SPRMY01,DRIVERS.IBM,$DST00,UP
\SPRMY01,DRIVERS.IBM,$DST01,UP
\SPRMY01,DRIVERS.IBM,$DST02,UP
\SPRMY01,DRIVERS.IBM,$DST03,UP
\SPRMY01,DRIVERS.IBM,$DST04,UP
\SPRMY01,DRIVERS.IBM,$DST05,UP
\SPRMY01,DRIVERS.IBM,$DST06,UP
\SPRMY01,DRIVERS.IBM,$DST07,UP
\SPRMY01,DRIVERS.IBM,$DST08,UP
\SPRMY01,DRIVERS.IBM,$DST09,UP
\SPRMY01,DRIVERS.IBM,$DST10,UP
\SPRMY01,DRIVERS.IBM,$DST11,UP
\SPRMY01,DRIVERS.IBM,$DST12,UP
\SPRMY01,DRIVERS.IBM,$DST13,UP
\SPRMY01,DRIVERS.IBM,$DST14,UP
\SPRMY01,DRIVERS.IBM,$DST15,UP
\SPRMY01,DRIVERS.IBM,$DST16,UP
\SPRMY01,DRIVERS.IBM,$DST17,UP
\SPRMY01,DRIVERS.IBM,$DST18,UP
\SPRMY01,DRIVERS.IBM,$DST19,UP
\SPRMY01,DRIVERS.IBM,$DST20,UP
\SPRMY01,DRIVERS.IBM,$DST21,UP
\SPRMY01,DRIVERS.IBM,$DST22,UP
\SPRMY01,DRIVERS.IBM,$DST23,UP
\SPRMY01,DRIVERS.IBM,$DST24,UP
\SPRMY01,DRIVERS.IBM,$DST25,UP
\SPRMY01,DRIVERS.IBM,$DST26,UP
\SPRMY01,DRIVERS.IBM,$DST27,UP
\SPRMY01,DRIVERS.IBM,$DST28,UP
\SPRMY01,DRIVERS.IBM,$DST29,UP
